airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Spicejet,2019-03-24,Banglore,Delhi,09:35:00,12:30:00,175,0,No Info,4377
Indigo,2019-05-06,Banglore,Delhi,22:10:00,01:00:00,170,0,No Info,3419
Air India,2019-03-27,Delhi,Cochin,05:10:00,08:00:00,170,0,No Info,4729
Air India,2019-03-03,Delhi,Cochin,21:30:00,19:15:00,1305,2,No Info,12287
Jet Airways,2019-03-06,Delhi,Cochin,13:00:00,04:25:00,925,1,In-flight meal not included,13843
Multiple Carriers,2019-05-15,Delhi,Cochin,11:30:00,19:15:00,465,1,No Info,14323
Vistara,2019-03-03,Banglore,Delhi,21:10:00,00:05:00,175,0,No Info,7608
Indigo,2019-05-15,Delhi,Cochin,21:50:00,03:35:00,345,1,No Info,7189
Air India,2019-06-01,Chennai,Kolkata,11:40:00,13:55:00,135,0,No Info,4667
Jet Airways,2019-06-09,Delhi,Cochin,17:30:00,19:00:00,1530,1,In-flight meal not included,10262
Air India,2019-03-03,Delhi,Cochin,04:00:00,07:40:00,1660,1,No Info,14462
Spicejet,2019-05-21,Delhi,Cochin,08:45:00,13:15:00,270,1,No check-in baggage included,5158
Jet Airways,2019-05-12,Delhi,Cochin,11:00:00,14:15:00,195,0,In-flight meal not included,7202
Air India,2019-06-09,Delhi,Cochin,10:55:00,19:15:00,500,2,No Info,12383
Air India,2019-03-06,Delhi,Cochin,09:00:00,07:40:00,1360,1,No Info,14882
Indigo,2019-06-03,Banglore,Delhi,18:55:00,21:50:00,175,0,No Info,4823
Jet Airways,2019-06-03,Delhi,Cochin,10:00:00,04:25:00,1105,1,In-flight meal not included,11627
Jet Airways,2019-06-21,Banglore,Delhi,11:10:00,14:05:00,175,0,In-flight meal not included,5769
Indigo,2019-03-21,Banglore,Delhi,14:25:00,19:25:00,300,1,No Info,7708
Jet Airways,2019-06-27,Delhi,Cochin,11:40:00,19:00:00,440,2,No Info,18804
Indigo,2019-04-24,Banglore,Delhi,23:30:00,02:20:00,170,0,No Info,3943
Jet Airways,2019-06-09,Delhi,Cochin,21:50:00,04:25:00,395,1,In-flight meal not included,10262
Jet Airways,2019-06-06,Delhi,Cochin,11:45:00,04:25:00,1000,2,In-flight meal not included,11992
Multiple Carriers,2019-03-21,Delhi,Cochin,11:40:00,01:35:00,835,1,No Info,7695
Jet Airways,2019-05-27,Delhi,Cochin,19:45:00,04:25:00,520,1,In-flight meal not included,12898
Jet Airways,2019-06-06,Delhi,Cochin,11:30:00,04:25:00,1015,1,In-flight meal not included,10262
Spicejet,2019-06-21,Kolkata,Banglore,09:00:00,11:25:00,145,0,No Info,3873
Multiple Carriers,2019-03-21,Delhi,Cochin,07:00:00,18:50:00,710,1,No Info,12402
Jet Airways,2019-04-09,Banglore,Delhi,07:10:00,10:10:00,180,0,No Info,7229
Jet Airways,2019-06-09,Kolkata,Banglore,08:25:00,16:20:00,475,1,In-flight meal not included,10844
Jet Airways,2019-06-06,Kolkata,Banglore,17:00:00,09:45:00,1005,1,In-flight meal not included,10539
Indigo,2019-04-01,Kolkata,Banglore,21:00:00,02:15:00,315,1,No Info,5930
Jet Airways,2019-03-03,Mumbai,Hyderabad,02:55:00,04:25:00,90,0,No Info,5678
Indigo,2019-05-21,Kolkata,Banglore,21:25:00,00:05:00,160,0,No Info,4804
Indigo,2019-06-21,Banglore,Delhi,19:30:00,22:15:00,165,0,No Info,5780
Jet Airways,2019-05-09,Delhi,Cochin,21:50:00,04:25:00,395,1,No Info,15554
Air Asia,2019-05-18,Banglore,Delhi,11:10:00,13:55:00,165,0,No Info,4483
Air Asia,2019-03-03,Kolkata,Banglore,19:35:00,22:05:00,150,0,No Info,5964
Jet Airways,2019-05-18,Kolkata,Banglore,16:30:00,23:35:00,425,1,In-flight meal not included,10844
Indigo,2019-03-09,Banglore,Delhi,17:55:00,22:55:00,300,1,No Info,6351
Indigo,2019-05-01,Chennai,Kolkata,05:15:00,07:40:00,145,0,No Info,3850
Jet Airways,2019-06-06,Delhi,Cochin,05:30:00,19:00:00,810,2,In-flight meal not included,10368
Spicejet,2019-05-06,Kolkata,Banglore,09:00:00,11:25:00,145,0,No Info,4174
Jet Airways,2019-05-01,Kolkata,Banglore,17:00:00,09:45:00,1005,1,No Info,11467
Jet Airways,2019-03-18,Banglore,Delhi,14:05:00,19:10:00,305,1,No Info,14815
Jet Airways,2019-05-06,Kolkata,Banglore,20:25:00,09:45:00,800,1,In-flight meal not included,8066
Indigo,2019-04-06,Kolkata,Banglore,17:15:00,19:50:00,155,0,No Info,4174
Multiple Carriers,2019-06-15,Delhi,Cochin,11:25:00,19:15:00,470,1,No Info,8614
Goair,2019-04-27,Banglore,Delhi,20:55:00,23:40:00,165,0,No Info,3898
Air India,2019-03-01,Banglore,Delhi,10:30:00,22:55:00,745,1,No Info,11003
Jet Airways,2019-06-06,Kolkata,Banglore,06:30:00,20:50:00,860,2,In-flight meal not included,10118
Indigo,2019-05-03,Chennai,Kolkata,22:05:00,00:25:00,140,0,No Info,5277
Indigo,2019-04-21,Kolkata,Banglore,22:15:00,00:50:00,155,0,No Info,4804
Jet Airways,2019-04-27,Banglore,Delhi,19:50:00,22:50:00,180,0,No Info,7229
Air Asia,2019-04-27,Banglore,Delhi,11:10:00,13:55:00,165,0,No Info,4483
Vistara,2019-06-09,Banglore,Delhi,11:30:00,14:20:00,170,0,No Info,4668
Air India,2019-03-24,Banglore,Delhi,21:05:00,23:55:00,170,0,No Info,4441
Vistara,2019-05-15,Kolkata,Banglore,17:00:00,23:25:00,385,1,No Info,9345
Jet Airways,2019-03-21,Delhi,Cochin,19:10:00,18:50:00,1420,2,No Info,9483
Jet Airways,2019-05-18,Kolkata,Banglore,21:10:00,10:05:00,775,1,In-flight meal not included,8586
